Items,Apply.Vectors,Conceptual.Relationships,Algebra,Visualizations
Item1,0,1,0,0
Item2,0,1,0,0
Item3,0,1,0,0
Item4,0,1,0,0
Item5,1,0,0,0
Item6,0,1,0,0
Item7,1,1,0,0
Item8,1,0,0,0
Item9,1,0,0,0
Item10,0,1,0,0
Item11,1,0,0,0
Item12,1,1,0,0
Item13,1,0,0,0
Item14,1,1,0,0
Item15,0,1,0,0
Item16,0,1,0,0
Item17,1,0,0,0
Item18,1,0,0,0
Item19,0,1,0,0
Item20,0,1,0,1
Item21,1,0,0,0
Item22,1,0,0,0
Item23,1,1,0,0
Item24,0,1,0,0
Item25,1,1,0,0
Item26,1,0,0,0
Item27,1,0,0,0
Item28,0,1,0,0
Item29,1,0,0,0
Item30,1,0,0,0
